epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4997,2.0327,4.02458,1.80105,0.00453,0.2572,0.01934,0.00987,1.55299,3.85533,1.84144,7.777e-05,7.777e-05,7.777e-05
2,20.1408,1.73637,3.55838,1.61211,0.00754,0.48504,0.1749,0.08916,1.36627,3.70983,1.59311,0.000165,0.000165,0.000165
3,23.3302,1.69201,2.68614,1.49674,0.00935,0.55876,0.19034,0.1069,1.34224,3.51327,1.49798,0.000250471,0.000250471,0.000250471
4,26.4805,1.67406,2.33748,1.46338,1,0.02939,0.32373,0.19847,1.31462,3.31965,1.4551,0.000334181,0.000334181,0.000334181
5,29.7172,1.61681,2.00769,1.42619,1,0.03763,0.37376,0.22459,1.38416,3.30914,1.50462,0.000416132,0.000416132,0.000416132
6,32.9138,1.62485,1.87913,1.40665,0.93782,0.1343,0.40034,0.22984,1.36785,3.18482,1.50281,0.000496323,0.000496323,0.000496323
7,36.0215,1.55478,1.61528,1.35553,0.88683,0.16075,0.44779,0.23594,1.45567,3.1054,1.64635,0.000574754,0.000574754,0.000574754
8,39.1678,1.55583,1.57642,1.40284,0.7828,0.34758,0.54195,0.30333,1.4569,2.72395,1.57199,0.000651425,0.000651425,0.000651425
9,42.2644,1.50583,1.48053,1.3525,0.72762,0.39742,0.61501,0.31153,1.51327,2.50848,1.58859,0.000726336,0.000726336,0.000726336
10,45.3192,1.5271,1.50109,1.36341,0.73906,0.33059,0.58041,0.32314,1.5873,2.65654,1.69374,0.000799488,0.000799488,0.000799488
11,48.4017,1.51573,1.50612,1.39461,0.64353,0.37316,0.52843,0.26005,1.59524,2.65603,1.76353,0.00087088,0.00087088,0.00087088
12,51.5117,1.4833,1.4431,1.34469,0.65386,0.53136,0.68525,0.36527,1.56148,2.09617,1.67609,0.000940511,0.000940511,0.000940511
13,54.6883,1.48132,1.39231,1.32244,0.6002,0.62927,0.70982,0.36351,1.5459,1.84854,1.64481,0.000979013,0.000979013,0.000979013
14,57.9312,1.4917,1.3751,1.31722,0.7409,0.52352,0.69816,0.37866,1.49011,1.8784,1.61305,0.000968014,0.000968014,0.000968014
15,61.0265,1.50116,1.32928,1.31753,0.67678,0.63762,0.65209,0.36298,1.5823,2.05963,1.70011,0.000957015,0.000957015,0.000957015
